id,case_number,date,block,iucr,primary_type,description,location_description,arrest,domestic,beat,district,ward,community_area,fbi_code,latitude,longitude,location
10402434,HZ138921,2016-01-08T12:00:00,004XX W 126TH PL,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,false,false,523,5,9,53,05,,,
10402492,HZ133048,2016-01-28T12:00:00,059XX W HURON ST,0620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE,false,false,1511,15,29,25,05,,,
10402728,HZ139188,2016-01-04T21:00:00,043XX W FORD CITY DR,0520,ASSAULT,AGGRAVATED:KNIFE/CUTTING INSTR,APARTMENT,false,true,833,8,13,65,04A,,,
10402839,HZ139320,2016-01-06T15:53:00,069XX N BELL AVE,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,OTHER,false,false,2411,24,50,2,26,,,
10403518,HZ108509,2016-01-08T14:35:00,048XX W CHICAGO AVE,5011,OTHER OFFENSE,LICENSE VIOLATION,CONVENIENCE STORE,false,false,1531,15,28,25,26,,,
10479985,HZ219127,2016-04-09T07:00:00,087XX S ST LAWRENCE AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,632,6,6,44,07,,,
10479990,HZ219225,2016-04-09T10:47:00,025XX E 91ST ST,0820,THEFT,$500 AND UNDER,RESIDENCE,false,false,423,4,7,48,06,,,
10394835,HZ131250,2016-01-28T00:05:00,064XX S CHAMPLAIN AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,true,false,312,3,20,42,14,41.777778436,-87.609524826,POINT(-87.609524826 41.777778436)
10394839,HZ131257,2016-01-28T00:06:00,078XX S EAST END AVE,5000,OTHER OFFENSE,OTHER CRIME AGAINST PERSON,APARTMENT,false,false,414,4,8,43,26,41.752508359,-87.583330605,POINT(-87.583330605 41.752508359)
10394842,HZ131255,2016-01-28T00:25:00,064XX S SANGAMON ST,0460,BATTERY,SIMPLE,APARTMENT,false,false,723,7,16,68,08B,41.777124658,-87.648360968,POINT(-87.648360968 41.777124658)
10394844,HZ131259,2016-01-28T00:15:00,005XX W SURF ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,1934,19,44,6,08B,41.9342691,-87.643341339,POINT(-87.643341339 41.9342691)
10394853,HZ131274,2016-01-28T00:53:00,106XX S KEDZIE AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,true,true,2211,22,19,74,08B,41.700103339,-87.701125701,POINT(-87.701125701 41.700103339)
10394854,HZ131272,2016-01-28T00:55:00,025XX W DIVISION ST,1310,CRIMINAL DAMAGE,TO PROPERTY,STREET,false,false,1423,14,26,24,14,41.902979015,-87.691046843,POINT(-87.691046843 41.902979015)
10394855,HZ131285,2016-01-28T01:20:00,068XX S SOUTH CHICAGO AVE,4625,OTHER OFFENSE,PAROLE VIOLATION,STREET,true,false,322,3,20,69,26,41.770757388,-87.612397133,POINT(-87.612397133 41.770757388)
10394859,HZ131271,2016-01-28T01:04:00,049XX W ADAMS ST,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,true,false,1533,15,28,25,14,41.878561061,-87.748101027,POINT(-87.748101027 41.878561061)
10394860,HZ131286,2016-01-28T01:04:00,106XX S MACKINAW AVE,502R,OTHER OFFENSE,VEHICLE TITLE/REG OFFENSE,STREET,true,false,432,4,10,52,26,41.701827532,-87.542562124,POINT(-87.542562124 41.701827532)
10394866,HZ131301,2016-01-28T00:10:00,001XX N LOTUS AVE,143A,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,RESIDENCE,false,false,1523,15,28,25,15,41.883354898,-87.761648404,POINT(-87.761648404 41.883354898)
10394868,HZ131256,2016-01-28T00:24:00,076XX S CHAMPLAIN AVE,0820,THEFT,$500 AND UNDER,RESIDENCE,false,true,624,6,6,69,06,41.755938684,-87.608985962,POINT(-87.608985962 41.755938684)
10394869,HZ131294,2016-01-28T01:40:00,012XX W 87TH ST,0860,THEFT,RETAIL THEFT,GAS STATION,false,false,2222,22,21,71,06,41.735931109,-87.653642482,POINT(-87.653642482 41.735931109)
10394870,HZ131284,2016-01-28T01:25:00,001XX W 63RD ST,0860,THEFT,RETAIL THEFT,GAS STATION,false,false,311,3,20,68,06,41.77999793,-87.629294594,POINT(-87.629294594 41.77999793)
10394873,HZ131268,2016-01-28T00:40:00,066XX S KEDZIE AVE,0860,THEFT,RETAIL THEFT,GAS STATION,true,false,831,8,15,66,06,41.772201212,-87.702980719,POINT(-87.702980719 41.772201212)
10394880,HZ131300,2016-01-28T02:12:00,011XX S CANAL ST,0820,THEFT,$500 AND UNDER,RESTAURANT,true,false,124,1,2,28,06,41.868034106,-87.639215155,POINT(-87.639215155 41.868034106)
10394881,HZ131306,2016-01-28T02:10:00,069XX S EGGLESTON AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,true,true,732,7,6,68,08B,41.767977671,-87.636002276,POINT(-87.636002276 41.767977671)
10394884,HZ131276,2016-01-28T00:53:00,082XX S WINCHESTER AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,VEHICLE NON-COMMERCIAL,true,false,614,6,18,71,18,41.744327535,-87.671780374,POINT(-87.671780374 41.744327535)
10394886,HZ131314,2016-01-28T04:05:00,031XX W 15TH ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,1022,10,24,29,08B,41.861320168,-87.704217033,POINT(-87.704217033 41.861320168)
10394887,HZ131310,2016-01-28T03:05:00,020XX N WESTERN AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,true,true,1432,14,32,22,08B,41.918521329,-87.68744085,POINT(-87.68744085 41.918521329)
